map_layout_code,max_cars,max_bikes,count_cars,throughput
2,9,3,261,29
2,9,3,240,26.66666667
2,9,3,250,27.77777778
2,9,3,239,26.55555556
2,9,3,242,26.88888889
2,9,3,239,26.55555556
2,9,3,236,26.22222222
2,9,3,241,26.77777778
2,11,3,255,23.18181818
2,11,3,250,22.72727273
2,11,3,228,20.72727273
2,11,3,240,21.81818182
2,11,3,244,22.18181818
2,11,3,257,23.36363636
2,11,3,241,21.90909091
2,11,3,241,21.90909091
2,13,3,250,19.23076923
2,13,3,251,19.30769231
2,13,3,240,18.46153846
2,13,3,245,18.84615385
2,13,3,247,19
2,13,3,250,19.23076923
2,13,3,254,19.53846154
2,13,3,251,19.30769231
2,1,6,76,76
2,1,6,77,77
2,1,6,79,79
2,1,6,75,75
2,1,6,76,76
2,1,6,73,73
2,1,6,74,74
2,1,6,73,73
2,3,6,161,53.66666667
2,3,6,173,57.66666667
2,3,6,163,54.33333333
2,3,6,154,51.33333333
2,3,6,162,54
2,3,6,176,58.66666667
2,3,6,153,51
2,3,6,158,52.66666667
